NaN,NaN,NaN,NaN,NaN,NaN,0.005,0.010,0.017,0.021,0.026,0.025,0.025,0.015,0.008,-0.004,-0.013,-0.023,-0.031,-0.037,-0.036,-0.038,-0.031,-0.018,-0.004,0.009,0.023,0.033,0.042,0.045,0.044,0.037,NaN,0.012,-0.003,-0.015,-0.030,-0.038,-0.044,-0.044,-0.041,-0.032,-0.019,-0.006,0.008,0.020,0.028,0.037,0.036,0.034,0.027,0.019,0.008,-0.002,-0.010,-0.017,-0.019,-0.021,-0.018,NaN,NaN,NaN,NaN,NaN,376596316.000
NaN,NaN,NaN,NaN,NaN,NaN,0.015,0.020,0.021,0.022,0.021,0.018,0.011,0.004,-0.006,-0.014,-0.024,-0.033,-0.037,-0.038,-0.037,-0.033,-0.026,-0.014,-0.004,0.009,0.021,0.031,0.040,0.043,0.044,0.042,NaN,0.026,0.014,0.001,-0.012,-0.023,-0.033,-0.039,-0.044,-0.044,-0.039,-0.030,-0.023,-0.012,0.002,0.012,0.020,0.028,0.032,0.030,0.030,0.025,0.020,0.012,0.005,-0.002,-0.007,NaN,NaN,NaN,NaN,NaN,376596368.000
NaN,NaN,NaN,NaN,NaN,NaN,0.013,0.017,0.020,0.023,0.022,0.020,0.015,0.008,-0.001,-0.013,-0.023,-0.028,-0.035,-0.037,-0.037,-0.035,-0.026,-0.014,-0.004,0.008,0.022,0.033,0.042,0.044,0.043,0.041,NaN,0.022,0.009,-0.005,-0.016,-0.027,-0.037,-0.040,-0.044,-0.043,-0.036,-0.027,-0.014,-0.002,0.008,0.019,0.028,0.032,0.033,0.033,0.027,0.019,0.012,0.005,-0.001,-0.008,-0.014,NaN,NaN,NaN,NaN,NaN,376596419.000
NaN,NaN,NaN,NaN,NaN,NaN,0.005,0.009,0.016,0.021,0.024,0.027,0.024,0.019,0.010,0.001,-0.010,-0.020,-0.030,-0.036,-0.039,-0.039,-0.033,-0.024,-0.012,0.000,0.016,0.028,0.037,0.042,0.045,0.043,NaN,0.022,0.010,-0.002,-0.019,-0.030,-0.039,-0.043,-0.043,-0.039,-0.030,-0.020,-0.008,0.006,0.017,0.026,0.033,0.034,0.033,0.028,0.019,0.012,0.004,-0.006,-0.011,-0.016,-0.016,NaN,NaN,NaN,NaN,NaN,376596471.000
NaN,NaN,NaN,NaN,NaN,NaN,0.003,0.009,0.015,0.019,0.024,0.026,0.024,0.022,0.013,0.004,-0.008,-0.018,-0.027,-0.035,-0.038,-0.039,-0.034,-0.028,-0.014,-0.002,0.012,0.024,0.037,0.041,0.043,0.046,NaN,0.027,0.014,0.000,-0.016,-0.024,-0.038,-0.041,-0.043,-0.044,-0.033,-0.024,-0.012,0.003,0.014,0.024,0.030,0.033,0.031,0.029,0.023,0.015,0.006,-0.002,-0.009,-0.014,-0.017,NaN,NaN,NaN,NaN,NaN,376596523.000
NaN,NaN,NaN,NaN,NaN,NaN,-0.005,-0.000,0.007,0.013,0.022,0.025,0.029,0.029,0.022,0.013,0.002,-0.008,-0.022,-0.030,-0.036,-0.042,-0.038,-0.031,-0.019,-0.007,0.009,0.023,0.035,0.040,0.045,0.043,NaN,0.025,0.012,-0.004,-0.020,-0.030,-0.041,-0.045,-0.042,-0.037,-0.026,-0.013,0.000,0.014,0.025,0.032,0.035,0.035,0.030,0.024,0.013,0.002,-0.006,-0.013,-0.018,-0.018,-0.018,NaN,NaN,NaN,NaN,NaN,376596575.000
NaN,NaN,NaN,NaN,NaN,NaN,0.017,0.018,0.020,0.018,0.014,0.010,0.003,-0.007,-0.013,-0.024,-0.030,-0.036,-0.037,-0.036,-0.032,-0.027,-0.017,-0.005,0.008,0.017,0.028,0.036,0.045,0.045,0.044,0.040,NaN,0.022,0.009,-0.003,-0.017,-0.026,-0.037,-0.040,-0.044,-0.042,-0.040,-0.031,-0.019,-0.010,0.001,0.012,0.020,0.027,0.030,0.032,0.029,0.026,0.020,0.014,0.007,-0.000,-0.004,NaN,NaN,NaN,NaN,NaN,376596626.000
NaN,NaN,NaN,NaN,NaN,NaN,0.005,0.011,0.018,0.021,0.026,0.025,0.024,0.019,0.010,-0.002,-0.012,-0.023,-0.032,-0.036,-0.037,-0.041,-0.032,-0.025,-0.012,0.002,0.016,0.027,0.041,0.046,0.047,0.040,NaN,0.020,0.010,-0.005,-0.019,-0.029,-0.039,-0.045,-0.044,-0.039,-0.031,-0.018,-0.007,0.007,0.017,0.029,0.032,0.036,0.033,0.028,0.021,0.011,0.002,-0.005,-0.013,-0.015,-0.016,NaN,NaN,NaN,NaN,NaN,376596677.000
NaN,NaN,NaN,NaN,NaN,NaN,-0.012,-0.006,-0.001,0.008,0.016,0.024,0.030,0.030,0.026,0.020,0.009,-0.003,-0.017,-0.028,-0.035,-0.042,-0.040,-0.035,-0.021,-0.006,0.011,0.024,0.035,0.043,0.045,0.042,NaN,0.020,0.005,-0.014,-0.028,-0.038,-0.044,-0.043,-0.037,-0.029,-0.014,0.002,0.015,0.027,0.032,0.040,0.036,0.028,0.018,0.008,-0.002,-0.014,-0.020,-0.023,-0.023,-0.018,-0.015,NaN,NaN,NaN,NaN,NaN,376596729.000
NaN,NaN,NaN,NaN,NaN,NaN,0.018,0.019,0.018,0.014,0.010,0.005,-0.003,-0.011,-0.020,-0.029,-0.032,-0.036,-0.037,-0.034,-0.027,-0.025,-0.013,-0.001,0.009,0.019,0.033,0.038,0.044,0.046,0.043,0.039,NaN,0.021,0.010,-0.002,-0.016,-0.026,-0.034,-0.039,-0.043,-0.044,-0.041,-0.035,-0.026,-0.014,-0.005,0.006,0.015,0.024,0.029,0.031,0.031,0.028,0.024,0.018,0.013,0.005,0.000,NaN,NaN,NaN,NaN,NaN,376596781.000
NaN,NaN,NaN,NaN,NaN,NaN,0.008,0.012,0.020,0.023,0.024,0.025,0.023,0.016,0.007,-0.003,-0.015,-0.025,-0.032,-0.037,-0.038,-0.039,-0.032,-0.024,-0.010,0.002,0.015,0.027,0.037,0.044,0.044,0.042,NaN,0.026,0.014,-0.001,-0.016,-0.028,-0.035,-0.041,-0.046,-0.041,-0.035,-0.026,-0.015,-0.002,0.010,0.022,0.028,0.033,0.034,0.032,0.027,0.020,0.010,0.001,-0.006,-0.011,-0.014,NaN,NaN,NaN,NaN,NaN,376596832.000
NaN,NaN,NaN,NaN,NaN,NaN,-0.012,-0.007,-0.003,0.007,0.017,0.022,0.026,0.031,0.028,0.020,0.009,-0.003,-0.014,-0.025,-0.035,-0.042,-0.040,-0.034,-0.022,-0.011,0.006,0.022,0.037,0.043,0.045,0.042,NaN,0.022,0.007,-0.009,-0.025,-0.037,-0.044,-0.043,-0.040,-0.030,-0.018,-0.002,0.011,0.024,0.032,0.039,0.037,0.031,0.022,0.009,-0.001,-0.011,-0.018,-0.022,-0.021,-0.020,-0.015,NaN,NaN,NaN,NaN,NaN,376596884.000
